invoice_number,invoice_date,customer_name,address,postal_code,city,subtotal,total_amount
03/2023/262,2023-03-21,"Eiscafe Venezia (Brandenburg)","Steinstr. 28, 14776 Brandenburg","14776","Brandenburg",47.90,56.07
03/2023/264,2023-03-22,"Eiscafe Venezia (Leipzig)","Ludwigsburger Str. 9, 04209 Leipzig","04209","Leipzig",372.00,439.85
03/2023/265,2023-03-22,"Eiscafe Venezia (Unbekannt)","Unbekannt","","Unbekannt",301.70,357.33
03/2023/274,2023-03-28,"Eiscafe Venezia (Unbekannt)","Unbekannt","","Unbekannt",1400.60,1666.73
03/2023/278,2023-03-30,"Eiscafe Venezia","Westl. Karl-Friedrich-Str. 17-19, 75172 Pforzheim","75172","Pforzheim",231.50,277.84
04/2023/291,2023-04-11,"EISCAFE VENEZIA","Marktplatz 4","","","368.80",437.18
04/2023/294,2023-04-11,"Eiscafe Venezia","Stadtplatz 23, 93426 Roding","93426","Roding",332.90,395.90
04/2023/295,2023-04-11,"EIS VENEZIA","Markt 26","","","1120.00",1332.80
04/2023/297,2023-04-12,"Eiscafe Venezia (Rottweil)","Hauptstraße 53, 78628 Rottweil","78628","Rottweil",307.80,364.60
04/2023/298,2023-04-13,"Eiscafe Venezia","Hochstr. 84, 56112 Lahnstein","56112","Lahnstein",305.90,362.34
05/2023/316,2023-05-02,"Eiscafe Venezia (Brandenburg)","Steinstr. 28, 14776 Brandenburg","14776","Brandenburg",75.90,89.39
05/2023/329,2023-05-11,"Eiscafe Venezia (Remagen)","Grabenstr. 13, 53424 Remagen","53424","Remagen",257.00,234.43
05/2023/339,2023-05-16,"Eiscafe Venezia (Forst)","Kirschstraßen 2, 76694 Forst","76694","Forst",301.70,357.33
06/2023/352,2023-06-05,"Eiscafe Venezia","Hauptstraße 32, 66953 Pirmasens","66953","Pirmasens",231.50,277.84
06/2023/375,2023-06-23,"Eiscafe Venezia (Schneeberg)","Markt 26, 08289 Schneeberg","08289","Schneeberg",251.90,298.07
07/2023/387,2023-07-06,"Eiscafe Venezia (Werther)","Am Markt 30, 33824 Werther","33824","Werther",357.10,420.62
07/2023/402,2023-07-25,"Eiscafe Venezia","Schulstraße 11, 93426 Roding","93426","Roding",332.90,395.90
10/2023/441,2023-10-24,"EISCAFE VENEZIA","Haupt Straße 42, 51143 Köln","51143","Köln",257.00,305.20
11/2023/445,2023-11-11,"Eiscafe Venezia (Schneeberg)","Markt 26, 08289 Schneeberg","08289","Schneeberg",347.10,411.35
11/2023/449,2023-11-20,"Eiscafe Venezia (Bad Vilbel)","Frankfurter Str. 96, 61118 Bad Vilbel","61118","Bad Vilbel",2519.10,2985.64
